timestamp,eID,objectVersion,classID,sensorMeasures,sensorConfig,Realtime,Livetime,Spectrum_length,Spectrum_sum,Spectrum_max,Total,Countrate,Cosmics,vT,datetime
1749562284812.0,SPECTRO_4112,,,,,0.199,0.199,512.0,27.0,3.0,27.0,136.0,2.0,1749562284812.0,2025-06-10 13:31:24.812
1749562285011.0,SPECTRO_4112,,,,,0.198,0.198,512.0,39.0,3.0,39.0,197.0,1.0,1749562285011.0,2025-06-10 13:31:25.011
1749562285213.0,SPECTRO_4112,,,,,0.201,0.201,512.0,24.0,1.0,24.0,119.0,0.0,1749562285213.0,2025-06-10 13:31:25.213
1749562285413.0,SPECTRO_4112,,,,,0.2,0.2,512.0,28.0,2.0,28.0,140.0,1.0,1749562285413.0,2025-06-10 13:31:25.413
1749562285612.0,SPECTRO_4112,,,,,0.199,0.199,512.0,20.0,2.0,20.0,101.0,0.0,1749562285612.0,2025-06-10 13:31:25.612
1749562285811.0,SPECTRO_4112,,,,,0.198,0.198,512.0,26.0,3.0,26.0,131.0,1.0,1749562285811.0,2025-06-10 13:31:25.811
1749562286012.0,SPECTRO_4112,,,,,0.2,0.2,512.0,30.0,2.0,30.0,150.0,0.0,1749562286012.0,2025-06-10 13:31:26.012
1749562286211.0,SPECTRO_4112,,,,,0.199,0.199,512.0,23.0,2.0,23.0,116.0,0.0,1749562286211.0,2025-06-10 13:31:26.211
1749562286413.0,SPECTRO_4112,,,,,0.201,0.201,512.0,30.0,3.0,30.0,149.0,2.0,1749562286413.0,2025-06-10 13:31:26.413
1749562286613.0,SPECTRO_4112,,,,,0.2,0.2,512.0,19.0,2.0,19.0,95.0,1.0,1749562286613.0,2025-06-10 13:31:26.613
1749562286812.0,SPECTRO_4112,,,,,0.199,0.199,512.0,20.0,3.0,20.0,101.0,0.0,1749562286812.0,2025-06-10 13:31:26.812
1749562287012.0,SPECTRO_4112,,,,,0.202,0.202,512.0,24.0,2.0,24.0,119.0,0.0,1749562287012.0,2025-06-10 13:31:27.012
1749562287212.0,SPECTRO_4112,,,,,0.197,0.197,512.0,27.0,3.0,27.0,137.0,2.0,1749562287212.0,2025-06-10 13:31:27.212
1749562287412.0,SPECTRO_4112,,,,,0.2,0.2,512.0,30.0,3.0,30.0,150.0,1.0,1749562287412.0,2025-06-10 13:31:27.412
1749562287612.0,SPECTRO_4112,,,,,0.2,0.2,512.0,21.0,2.0,21.0,105.0,0.0,1749562287612.0,2025-06-10 13:31:27.612
1749562287812.0,SPECTRO_4112,,,,,0.2,0.2,512.0,29.0,2.0,29.0,145.0,1.0,1749562287812.0,2025-06-10 13:31:27.812
1749562288012.0,SPECTRO_4112,,,,,0.199,0.199,512.0,15.0,2.0,15.0,75.0,2.0,1749562288012.0,2025-06-10 13:31:28.012
1749562288212.0,SPECTRO_4112,,,,,0.2,0.2,512.0,20.0,2.0,20.0,100.0,0.0,1749562288212.0,2025-06-10 13:31:28.212
1749562288412.0,SPECTRO_4112,,,,,0.199,0.199,512.0,13.0,1.0,13.0,65.0,1.0,1749562288412.0,2025-06-10 13:31:28.412
1749562288613.0,SPECTRO_4112,,,,,0.201,0.201,512.0,22.0,2.0,22.0,109.0,0.0,1749562288613.0,2025-06-10 13:31:28.613
1749562288814.0,SPECTRO_4112,,,,,0.2,0.2,512.0,24.0,2.0,24.0,120.0,1.0,1749562288814.0,2025-06-10 13:31:28.814
1749562289014.0,SPECTRO_4112,,,,,0.2,0.2,512.0,29.0,2.0,29.0,145.0,0.0,1749562289014.0,2025-06-10 13:31:29.014
1749562289217.0,SPECTRO_4112,,,,,0.202,0.202,512.0,18.0,2.0,18.0,89.0,1.0,1749562289217.0,2025-06-10 13:31:29.217
1749562289415.0,SPECTRO_4112,,,,,0.198,0.198,512.0,29.0,3.0,29.0,146.0,2.0,1749562289415.0,2025-06-10 13:31:29.415
1749562289616.0,SPECTRO_4112,,,,,0.2,0.2,512.0,7.0,1.0,7.0,35.0,0.0,1749562289616.0,2025-06-10 13:31:29.616
1749562289818.0,SPECTRO_4112,,,,,0.201,0.201,512.0,22.0,2.0,22.0,109.0,0.0,1749562289818.0,2025-06-10 13:31:29.818
1749562290017.0,SPECTRO_4112,,,,,0.199,0.199,512.0,25.0,3.0,25.0,126.0,1.0,1749562290017.0,2025-06-10 13:31:30.017
1749562290218.0,SPECTRO_4112,,,,,0.2,0.2,512.0,21.0,3.0,21.0,105.0,2.0,1749562290218.0,2025-06-10 13:31:30.218
1749562290417.0,SPECTRO_4112,,,,,0.198,0.198,512.0,27.0,2.0,27.0,136.0,0.0,1749562290417.0,2025-06-10 13:31:30.417
1749562290618.0,SPECTRO_4112,,,,,0.201,0.201,512.0,24.0,2.0,24.0,119.0,0.0,1749562290618.0,2025-06-10 13:31:30.618
1749562290820.0,SPECTRO_4112,,,,,0.201,0.201,512.0,16.0,1.0,16.0,80.0,1.0,1749562290820.0,2025-06-10 13:31:30.820
1749562291020.0,SPECTRO_4112,,,,,0.199,0.199,512.0,23.0,2.0,23.0,116.0,0.0,1749562291020.0,2025-06-10 13:31:31.020
1749562291221.0,SPECTRO_4112,,,,,0.2,0.2,512.0,21.0,2.0,21.0,105.0,0.0,1749562291221.0,2025-06-10 13:31:31.221
1749562291420.0,SPECTRO_4112,,,,,0.199,0.199,512.0,25.0,3.0,25.0,126.0,0.0,1749562291420.0,2025-06-10 13:31:31.420
1749562291624.0,SPECTRO_4112,,,,,0.204,0.204,512.0,33.0,3.0,33.0,162.0,0.0,1749562291624.0,2025-06-10 13:31:31.624
1749562291821.0,SPECTRO_4112,,,,,0.196,0.196,512.0,29.0,3.0,29.0,148.0,0.0,1749562291821.0,2025-06-10 13:31:31.821
1749562292022.0,SPECTRO_4112,,,,,0.2,0.2,512.0,29.0,2.0,29.0,145.0,2.0,1749562292022.0,2025-06-10 13:31:32.022
1749562292223.0,SPECTRO_4112,,,,,0.201,0.201,512.0,29.0,3.0,29.0,144.0,0.0,1749562292223.0,2025-06-10 13:31:32.223
1749562292423.0,SPECTRO_4112,,,,,0.199,0.199,512.0,23.0,2.0,23.0,116.0,2.0,1749562292423.0,2025-06-10 13:31:32.423
1749562292622.0,SPECTRO_4112,,,,,0.199,0.199,512.0,29.0,3.0,29.0,146.0,1.0,1749562292622.0,2025-06-10 13:31:32.622
1749562292822.0,SPECTRO_4112,,,,,0.199,0.199,512.0,30.0,4.0,30.0,151.0,1.0,1749562292822.0,2025-06-10 13:31:32.822
1749562293024.0,SPECTRO_4112,,,,,0.202,0.202,512.0,31.0,2.0,31.0,153.0,0.0,1749562293024.0,2025-06-10 13:31:33.024
1749562293222.0,SPECTRO_4112,,,,,0.198,0.198,512.0,23.0,2.0,23.0,116.0,0.0,1749562293222.0,2025-06-10 13:31:33.222
1749562293422.0,SPECTRO_4112,,,,,0.199,0.199,512.0,23.0,2.0,23.0,116.0,0.0,1749562293422.0,2025-06-10 13:31:33.422
1749562293622.0,SPECTRO_4112,,,,,0.199,0.199,512.0,20.0,3.0,20.0,101.0,1.0,1749562293622.0,2025-06-10 13:31:33.622
1749562293822.0,SPECTRO_4112,,,,,0.2,0.2,512.0,18.0,1.0,18.0,90.0,0.0,1749562293822.0,2025-06-10 13:31:33.822
